#Data tag : 19v3 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/pb),recorded(/pb)
279844:5267,09/01/16 07:21:16,224,HLT_IsoMu24_v2,59.213231902,56.587892499
279887:5270,09/01/16 23:20:52,316,HLT_IsoMu24_v2,76.442157818,73.315951298
279931:5274,09/02/16 11:37:39,2934,HLT_IsoMu24_v2,489.984368273,475.315526052
279966:5275,09/03/16 09:20:25,363,HLT_IsoMu24_v2,96.966336936,93.010881560
279975:5276,09/03/16 14:45:09,1024,HLT_IsoMu24_v2,248.024945766,239.010765750
279993:5277,09/04/16 00:23:27,72,HLT_IsoMu24_v2,19.261839462,18.075211084
279994:5277,09/04/16 00:56:48,47,HLT_IsoMu24_v2,13.118972615,12.379774533
280013:5277,09/04/16 03:35:47,25,HLT_IsoMu24_v2,5.868208722,5.635925249
280015:5277,09/04/16 03:55:19,572,HLT_IsoMu24_v2,119.699571081,115.192201866
280016:5277,09/04/16 07:42:16,149,HLT_IsoMu24_v2,27.553952521,26.575518877
280017:5277,09/04/16 08:45:47,608,HLT_IsoMu24_v2,100.894943358,97.988265529
280018:5277,09/04/16 12:47:05,1281,HLT_IsoMu24_v2,163.305581178,159.034296216
280020:5277,09/04/16 21:15:15,45,HLT_IsoMu24_v2,4.786649556,4.613516645
280024:5277,09/04/16 21:47:39,427,HLT_IsoMu24_v2,42.616591628,41.841049370
280187:5279,09/05/16 20:24:23,57,HLT_IsoMu24_v2,14.645086801,13.218199664
280188:5279,09/05/16 20:50:25,245,HLT_IsoMu24_v2,64.181141430,61.560219414
280191:5279,09/05/16 22:40:17,897,HLT_IsoMu24_v2,185.620696632,178.951487182
280194:5279,09/06/16 06:00:49,238,HLT_IsoMu24_v2,37.793482887,36.665471251
280242:5282,09/06/16 15:43:40,625,HLT_IsoMu24_v2,153.836093531,147.690347519
